"Endpoint ID","auto~Time_Angle#values.value","auto~Time_Button#values.value","auto~Time_CableWrap#values.value","auto~Time_Fader#values.value","auto~Time_ProbeGoal#values.value","auto~accX#values.value","auto~accY#values.value","auto~accZ#values.value","auto~angleValue#values.value","auto~cumForce#values.value","auto~faderValue#values.value","auto~gyroX#values.value","auto~gyroY#values.value","auto~gyroZ#values.value","auto~probeGoalState#values.value","auto~probeStartState#values.value","auto~pushButtonState#values.value","auto~resetButtonState#values.value","auto~startButtonState#values.value","auto~stopButtonState#values.value","auto~trialCounter#values.value","auto~trialPoints#values.value","auto~trialStarted#values.value","auto~trialTime#values.value","Date"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-18.06640625","14.6484375","1077.148438","4074","2.762207031","0","10.25390625","-0.366210938","0","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:04"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-3.662109375","15.38085938","1077.148438","4075","2.855224609","0","11.16943359","0.061035156","0.183105469","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:04"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","2.44140625","-1.708984375","1060.058594","4076","3.017089844","0","10.68115234","-0.305175781","0.427246094","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:05"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-6.103515625","17.08984375","1096.435547","4077","3.166015625","0","9.399414063","0","-0.183105469","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:05"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-17.33398438","12.6953125","1076.904297","4073","3.230224609","1","9.27734375","0","-0.366210938","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:05"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-14.6484375","-0.244140625","1089.111328","4075","3.320800781","1","10.37597656","-0.122070313","-0.244140625","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:05"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","3.41796875","19.77539063","1060.302734","4076","3.383544922","0","9.033203125","0.305175781","-0.427246094","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:05"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","5.615234375","4.150390625","1087.402344","4074","3.571533203","1","10.55908203","0.061035156","-0.549316406","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:05"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","-1.46484375","12.45117188","1078.369141","4075","3.682373047","0","11.04736328","-0.48828125","-0.122070313","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:05"
"01d0b6f3-ea45-4719-b6c9-a93693961a66","0","0","0","0","0","4.638671875","7.8125","1083.740234","4076","3.81640625","1","9.765625","0.305175781","-0.061035156","1","1","1","1","1","1","2","0","1","0","2023-06-02 17:00:05"
